gene_symbol	hpo_terms
BRCA1	HP:0003002;HP:0002894;HP:0010619
BRCA2	HP:0003002;HP:0002894;HP:0010619
TP53	HP:0002664;HP:0003002;HP:0001909
CFTR	HP:0002205;HP:0006528;HP:0002110;HP:0004401
MLH1	HP:0002239;HP:0003003;HP:0006716
MSH2	HP:0002239;HP:0003003;HP:0006716
SCN1A	HP:0001250;HP:0001249;HP:0002197;HP:0001263
MECP2	HP:0001249;HP:0001250;HP:0002187;HP:0000733
DMD	HP:0003202;HP:0003701;HP:0001644;HP:0003236
HEXA	HP:0001249;HP:0001250;HP:0001263;HP:0000543
PKD1	HP:0000107;HP:0000108;HP:0000787
LMNA	HP:0001644;HP:0001637;HP:0003202;HP:0003701
MYH7	HP:0001639;HP:0001712;HP:0001645
MYBPC3	HP:0001639;HP:0001712;HP:0001645
KCNQ1	HP:0001657;HP:0001678;HP:0004756
SCN5A	HP:0001657;HP:0001678;HP:0004756;HP:0001645
RET	HP:0002668;HP:0000830;HP:0002884
VHL	HP:0006744;HP:0009726;HP:0000572
APC	HP:0200063;HP:0003003;HP:0005227
LDLR	HP:0003124;HP:0001658;HP:0001677
PTEN	HP:0000256;HP:0100615;HP:0002664
RB1	HP:0009919;HP:0002664
