gene_symbol	hi_score	ts_score
BRCA1	3	0
BRCA2	3	0
TP53	3	0
RB1	3	0
NF1	3	0
NF2	3	0
PTEN	3	0
APC	3	0
MEN1	3	0
VHL	3	0
TSC1	3	0
TSC2	3	0
WT1	3	0
CDKN2A	3	0
SMAD4	3	0
STK11	3	0
MLH1	3	0
MSH2	3	0
MSH6	3	0
PMS2	3	0
BMPR1A	3	0
RET	3	1
MYC	0	3
ERBB2	0	3
MECP2	3	0
FOXG1	3	0
RAI1	3	0
TCF4	3	0
SHANK3	3	0
KANSL1	3	0
EHMT1	3	0
MBD5	3	0
SATB2	3	0
CHD7	3	0
ARID1B	3	0
KMT2A	3	0
CREBBP	3	0
EP300	3	0
NIPBL	3	0
SMC1A	3	0
SMC3	3	0
HDAC8	3	0
RAD21	3	0
CHARGE	3	0
TBX1	3	0
HIRA	3	0
SNAP29	3	0
LZTR1	3	0
SOX9	3	0
SRY	3	0
DMRT1	0	3
YWHAE	3	0
PAFAH1B1	3	0
PMP22	3	3
